;year;nr;name;land;str_cl;cars_r1;cars_r2;trucks_r1;trucks_r2
211;2016;6815;Reiskirchen;HE;A;23687;23772;3915;3848
212;2016;6824;Rosbach;HE;A;54401;51193;6702;6705
213;2016;8018;St. Leon;BW;A;54088;55759;8550;8709
214;2016;8049;T+R Breisgau;BW;A;33490;33319;4622;4497
215;2016;8099;Weil am Rhein/GZA;BW;A;16564;16382;1415;1251
216;2016;8017;AD Hockenheim;BW;A;51915;47740;8496;7821
217;2016;6829;AD Viernheim (W);HE;A;25634;24507;3429;3361
218;2016;9054;AK Altdorf (O);BY;A;16447;16413;3997;4158
219;2016;9567;AK Feuchtw./Crailsh. (O);BY;A;26696;26485;7116;7166
220;2016;9566;AK Feuchtw./Crailsh. (W);BY;A;26962;26415;7419;7322
221;2016;7459;AK Landstuhl VQ Ost;RP;A;;;;
222;2016;7458;AK Landstuhl VQ West;RP;A;;;;
223;2016;103;AK Neunkirchen;SL;A;18502;18294;2011;1926
224;2016;9753;AK Nürnberg-Ost (O);BY;A;21771;20380;4898;4845
225;2016;9047;AK Nürnberg-Ost (W);BY;A;;;;
226;2016;9944;AK Nürnberg-Süd (W);BY;A;41455;41021;8353;8551
227;2016;9088;AK Oberpfälzer Wald (O);BY;A;9567;9672;2958;3141
228;2016;9238;AK Oberpfälzer Wald (W);BY;A;8942;9170;2874;2992
229;2016;6830;AK Viernheim (N);HE;A;41998;46421;5553;6173
230;2016;9528;AS Amberg-Ost;BY;A;9175;9288;2909;2968
231;2016;9524;AS Ansbach;BY;A;27698;27630;7436;7436
232;2016;9523;AS Aurach;BY;A;28187;27748;7500;7530
233;2016;9522;AS Feuchtwangen-Nord;BY;A;;;;
234;2016;7454;AS Frankenthal VQ West;RP;A;22380;21366;2740;2889
235;2016;7453;AS Ludwigshafen VQ West;RP;A;22562;21447;2802;3045
236;2016;9526;AS Neuendettelsau;BY;A;28251;28407;7158;7538
237;2016;9525;AS Neuendettelsau (W);BY;A;28549;28614;7313;7646
238;2016;9527;AS Nürnbg.-Langwasser (W);BY;A;;;;
239;2016;7455;AS Wattenheim VQ Ost;RP;A;18811;18110;2910;2972
240;2016;9018;Alfeld (O);BY;A;13177;14190;3229;4005
241;2016;9239;Amberg-Ost (W);BY;A;11450;11349;3480;3553
242;2016;105;Bexbach;SL;A;23747;22945;3468;3306
243;2016;101;Bischmisheim;SL;A;15254;14518;986;1019
244;2016;7338;Daubenbornerhof;RP;A;16913;16702;2706;2932
245;2016;7456;Enkenbach/Alsenborn;RP;A;16732;15562;2785;2915
246;2016;7604;Gerolsheim;RP;A;22634;22441;3352;3586
